Ticket No.,Priority,WHO?,WHAT?,WHY?,DONE?,,Acceptance Criteria
1,1: must-be,Owner,Create accounts for all user types,To setup the system,FALSE,FALSE,"The system provides an ""Add User"" form accessible to Owner role"
,,,,,,FALSE,"The form includes fields for: first name, surname, email, password, department, role (Admin/Employee)."
,,,,,,FALSE,"If ""Employee"" is selected a yearly vacation balance field appears, which is required."
,,,,,,FALSE,Yearly vacation balance must be greater or equal to 0
,,,,,,FALSE,The system validates that the email is unique in the system and abides by email format convention.
,,,,,,FALSE,"The system sends an email to the registered User, providing them with their password."
2,1: must-be,Owner,View Departments List,To track Employees distribution,FALSE,FALSE,There exists a Departments List to see all created departments.
,,,,,,FALSE,Each Department includes a list of admins which oversee the given department.
,,,,,,FALSE,Department list can be searched by name.
,,,,,,FALSE,Departments are sorted alphabetically by names by default.
,,,,,,FALSE,"There exists 'Default Department', created by the system."
3,1: must-be,Owner,Manage Departments,To organize company structure,FALSE,FALSE,"System provides an ""Add Department"" form to create and name new departments."
,,,,,,FALSE,The Owner can assign multiple Administrators to specific Department.
,,,,,,,Each Department includes a list of Administrators which oversee the given department.
,,,,,,FALSE,The 'Default Department' cannot be deleted.
,,,,,,FALSE,"The Owner can modify departments (Name, assigned Administrators and Employees)"
,,,,,,FALSE,The Owner can detach an Admin from a Department only if that Admin currently oversees more than 2 Departments.
,,,,,,FALSE,The Owner can delete a Department only if it currently has no Employees and no Admins assigned to it.
4,1: must-be,Administrator,Create account for Employees,To setup the system,FALSE,FALSE,"The system provides an ""Add Employee"" form accessible to Administrator role."
,,,,,,FALSE,"Form includes only first name, surname, email, password, department, yearly vacation balance."
,,,,,,FALSE,Yearly vacation balance must be greater or equal to 0
,,,,,,FALSE,The system validates that the email is unique in the system and abides by email format convention.
,,,,,,FALSE,The Employee is assigned to the Department which the Administrator is overseeing.
,,,,,,FALSE,Administrators cannot create other Administrator accounts.
,,,,,,FALSE,"The system sends an email to the registered Employee, providing them with their password."
5,1: must-be,All,Sign in to the system,To load user preferences and data,FALSE,FALSE,There exists a Login Page where a user can enter email and password.
,,,,,,FALSE,"If an incorrect password/email is entered, the system displays an error and does not grant access."
,,,,,,FALSE,"As an Administrator/Owner after I log in I am redirected to ""Request Manager"" page."
,,,,,,FALSE,"As an Employee after I log in I am redirected to ""My Leaves"" page."
,,,,,,FALSE,"If a User is both an Administrator and Employee they are redirected to ""Request Manager"" page."
6,1: must-be,All,View personal profile,To verify personal data,FALSE,FALSE,"Profile page contains full name, surname and email for every User."
,,,,,,FALSE,Administrator's profile page additionally contains the Department they oversee.
,,,,,,FALSE,"Employee's profile page can additionally contain the status of their active leave: Vacation, Sick Leave, Personal Leave."
,,,,,,FALSE,Employee's profile page additionally contains their vacation balance.
7,1: must-be,Employee,Create request ,To inform Administrators of the absence,FALSE,FALSE,"The ""My Leaves"" page includes a button that opens a form to create a request."
,,,,,,FALSE,"The form includes fields for: leave type (Vacation, Sick, Personal), Paid/Unpaid leave, start date, end date, 
and ""Reason"" section is displayed where the User can input text."
,,,,,,FALSE,"If ""Personal"" is selected as a leave type then it is mandatory to fill ""Reason"" section.
For other leave types the ""Reason"" section is optional."
,,,,,,FALSE,"If ""Vacation"" is selected as the leave type, the system will show a 
warning message if the requested number of days exceeds the remaining vacation balance."
,,,,,,FALSE,The system prevents submission if the start date is after the end date.
,,,,,,FALSE,The system prevents an Employee from creating a request if its date range overlaps with one of their existing non-rejected/cancelled requests.
,,,,,,FALSE,"If a ""Vacation"" leave was created it updates vacation balance of the given Employee."
,,,,,,FALSE,"Upon submission, the request appears in the ""My Leaves"" list with a ""Pending"" status."
